Waveform,p_for_S,p_for_Se,OSR,DAC_clock_MHz,R,Required_bits,THD_percent,Weighted_error_percent
Se,7,8,32,16,25,5,0.976726507716198,0.361176037347438
Se,7,8,32,16,26,5,0.27011849615059,0.116877681351813
Se,7,8,32,16,27,5,0.372961163291885,0.067201825206787
Se,7,8,32,16,28,5,0.12361467913062,0.0486994231478099
Se,7,8,32,16,29,5,0.414662568609066,0.142607045346634
Se,7,8,32,16,30,5,0.181683468065943,0.0726434086859128
Se,7,8,32,16,31,5,0.749593777314752,0.311994105007269
Se,7,8,32,16,32,6,0.462536106908294,0.180026675695376
Se,7,8,32,16,33,6,0.37161898017097,0.116852981067945
Se,7,8,32,16,34,6,0.365998811782532,0.149098456141025
Se,7,8,32,16,35,6,0.487917153652161,0.181926439449087
Se,7,8,32,16,36,6,0.132882588309398,0.0571382181375937
Se,7,8,32,16,37,6,0.345231179108489,0.115575757822223
Se,7,8,32,16,38,6,0.231156130513197,0.0987799931600195
Se,7,8,32,16,39,6,0.641069899252657,0.255151470656942
Se,7,8,32,16,40,6,0.123614679618624,0.0486994232276172
Se,7,8,32,16,41,6,0.405852853150331,0.170097829419852
Se,7,8,32,16,42,6,0.1746670117148,0.0590935629925699
Se,7,8,32,16,43,6,0.293014782316898,0.0864401055811371
Se,7,8,32,16,44,6,0.368566518467789,0.149903160206089
Se,7,8,32,16,45,6,0.388217762456897,0.15569709672578
Se,7,8,32,16,46,6,0.195714237287539,0.0872595001186709
Se,7,8,32,16,47,6,0.296901363100659,0.108370317764807
Se,7,8,32,16,48,6,0.27044109126292,0.107825531410608
Se,7,8,32,16,49,6,0.247190987699825,0.082092120676651
Se,7,8,32,16,50,6,0.208871793936585,0.0832080030728318
Se,7,8,32,16,51,6,0.258947536595555,0.0895991250784306
Se,7,8,32,16,52,6,0.414619976681576,0.151692054693071
Se,7,8,32,16,53,6,0.318573928984728,0.122453134684225
Se,7,8,32,16,54,6,0.108658903887435,0.0484335672847717
Se,7,8,32,16,55,6,0.288110057684843,0.106628388756513
Se,7,8,32,16,56,6,0.328134887154578,0.127603688504792
Se,7,8,32,16,57,6,0.225117168386242,0.077110343055707
Se,7,8,32,16,58,6,0.226240868769743,0.0919005045409065
Se,7,8,32,16,59,6,0.181346745867578,0.0512708520740378
Se,7,8,32,16,60,6,0.0782104818430134,0.0278368893273198
Se,7,8,32,16,61,6,0.305723650722211,0.127162046692837
Se,7,8,32,16,62,6,0.107398005394451,0.0439858493524194
Se,7,8,32,16,63,6,0.367751069586522,0.143139380370948
Se,7,8,32,16,64,7,0.20694190943601,0.0758083644849491
Se,7,8,32,16,65,7,0.222115944763672,0.0880086062991591
Se,7,8,32,16,66,7,0.0802709863751144,0.0283421063153971
Se,7,8,32,16,67,7,0.159022811391284,0.0436629081001357
Se,7,8,32,16,68,7,0.216087086199748,0.0865434411861622
Se,7,8,32,16,69,7,0.319584538646945,0.125410938499866
Se,7,8,32,16,70,7,0.078811371839769,0.0314465802159375
Se,7,8,32,16,71,7,0.17440532152473,0.0565325082366316
Se,7,8,32,16,72,7,0.0851484578582029,0.0364704965308198
Se,7,8,32,16,73,7,0.143003395346433,0.0375798954460377
Se,7,8,32,16,74,7,0.129006931283609,0.0555894983239363
